UNITID,uni_total_enrollment,uni_total_nonresident_enrollment,uni_undergrad_enrollment,uni_undergrad_nonresident_enrollment,uni_graduate_enrollment,uni_graduate_nonresident_enrollment,uni_total_nonresident_pct,uni_undergrad_nonresident_pct,uni_graduate_nonresident_pct
100654,7295,226,6370.0,147.0,925.0,79.0,3.098012337217272,2.307692307692308,8.54054054054054
100663,20905,1873,11959.0,361.0,8946.0,1512.0,8.959579048074623,3.0186470440672295,16.901408450704224
100690,639,0,243.0,0.0,396.0,0.0,0.0,0.0,0.0
100706,8564,278,6800.0,76.0,1764.0,202.0,3.246146660439047,1.1176470588235294,11.45124716553288
100724,4081,109,3521.0,87.0,560.0,22.0,2.6709139916687086,2.470888952002272,3.9285714285714284
100751,40846,1207,34389.0,341.0,6457.0,866.0,2.955001713754101,0.9915961499316642,13.411801146043054
100760,2140,4,2140.0,4.0,,,0.1869158878504673,0.1869158878504673,
100812,2986,7,2535.0,6.0,451.0,1.0,0.23442732752846618,0.2366863905325444,0.22172949002217296
100830,5217,1221,3325.0,129.0,1892.0,1092.0,23.404255319148938,3.879699248120301,57.71670190274841
100858,34145,1767,27907.0,460.0,6238.0,1307.0,5.174989017425684,1.6483319597233668,20.952228278294324
101028,1705,4,1705.0,4.0,,,0.23460410557184752,0.23460410557184752,
101116,303,1,299.0,1.0,4.0,0.0,0.33003300330033003,0.33444816053511706,0.0
101143,2699,16,2699.0,16.0,,,0.5928121526491293,0.5928121526491293,
101161,7553,36,7553.0,36.0,,,0.47663180193300675,0.47663180193300675,
101189,3086,141,1758.0,76.0,1328.0,65.0,4.569021386908619,4.323094425483505,4.894578313253012
101240,5071,39,5071.0,39.0,,,0.7690790771051075,0.7690790771051075,
101277,81,0,81.0,0.0,,,0.0,0.0,
101286,4044,7,4044.0,7.0,,,0.17309594460929772,0.17309594460929772,
101295,6424,32,6424.0,32.0,,,0.49813200498132004,0.49813200498132004,
101301,1925,9,1925.0,9.0,,,0.4675324675324675,0.4675324675324675,
101365,444,0,442.0,0.0,2.0,0.0,0.0,0.0,0.0
101435,892,0,880.0,0.0,12.0,0.0,0.0,0.0,0.0
101453,178,4,93.0,1.0,85.0,3.0,2.247191011235955,1.0752688172043012,3.5294117647058822
101462,1187,23,1187.0,23.0,,,1.9376579612468408,1.9376579612468408,
101471,960,6,960.0,6.0,,,0.625,0.625,
101480,9955,310,8663.0,278.0,1292.0,32.0,3.11401305876444,3.209049982684982,2.476780185758514
101505,9240,143,9240.0,143.0,,,1.5476190476190477,1.5476190476190477,
101514,9119,75,9119.0,75.0,,,0.8224586029169865,0.8224586029169865,
101569,3453,22,3453.0,22.0,,,0.6371271358239212,0.6371271358239212,
101587,6820,105,2983.0,63.0,3837.0,42.0,1.5395894428152492,2.1119678176332553,1.09460516028147
101602,2062,4,2062.0,4.0,,,0.19398642095053348,0.19398642095053348,
101648,332,0,332.0,0.0,,,0.0,0.0,
101675,1180,0,1180.0,0.0,,,0.0,0.0,
101693,1545,32,1308.0,29.0,237.0,3.0,2.071197411003236,2.217125382262997,1.2658227848101267
101709,3088,86,2642.0,84.0,446.0,2.0,2.7849740932642484,3.1794095382286147,0.4484304932735426
101736,4665,15,4665.0,15.0,,,0.3215434083601286,0.3215434083601286,
101879,10204,452,7662.0,365.0,2542.0,87.0,4.429635437083497,4.763769250848342,3.4225019669551533
101897,3208,7,3208.0,7.0,,,0.21820448877805484,0.21820448877805484,
101912,1226,0,1177.0,0.0,49.0,0.0,0.0,0.0,0.0
101994,641,4,641.0,4.0,,,0.62402496099844,0.62402496099844,
102030,4001,78,4001.0,78.0,,,1.9495126218445389,1.9495126218445389,
102049,6097,72,4210.0,45.0,1887.0,27.0,1.1809086435952107,1.0688836104513064,1.4308426073131957
102058,95,0,82.0,0.0,13.0,0.0,0.0,0.0,0.0
102067,4601,36,4601.0,36.0,,,0.7824386003042817,0.7824386003042817,
102076,2917,8,2917.0,8.0,,,0.2742543709290367,0.2742543709290367,
102094,14003,287,9241.0,114.0,4762.0,173.0,2.0495608083982004,1.233632723731198,3.632927341453171
102234,919,93,782.0,87.0,137.0,6.0,10.119695321001087,11.12531969309463,4.37956204379562
102270,731,23,731.0,23.0,,,3.146374829001368,3.146374829001368,
102298,760,109,701.0,103.0,59.0,6.0,14.342105263157896,14.693295292439373,10.16949152542373
102313,2046,10,2046.0,10.0,,,0.4887585532746823,0.4887585532746823,
102368,13658,510,10222.0,384.0,3436.0,126.0,3.7340752672426416,3.756603404421835,3.667054714784633
102377,3121,0,2659.0,0.0,462.0,0.0,0.0,0.0,0.0
102395,367,0,234.0,0.0,133.0,0.0,0.0,0.0,0.0
102429,4378,0,4378.0,0.0,,,0.0,0.0,
102553,10493,166,9853.0,145.0,640.0,21.0,1.5820070523205947,1.4716330051760884,3.28125
102580,38,0,38.0,0.0,,,0.0,0.0,
102614,6893,168,5827.0,70.0,1066.0,98.0,2.4372551864210066,1.2013042732109147,9.193245778611631
102632,2000,25,1768.0,22.0,232.0,3.0,1.25,1.244343891402715,1.293103448275862
102669,593,5,479.0,3.0,114.0,2.0,0.8431703204047217,0.6263048016701461,1.7543859649122806
102711,269,1,269.0,1.0,,,0.37174721189591076,0.37174721189591076,
102845,2157,10,2157.0,10.0,,,0.4636068613815485,0.4636068613815485,
103501,250,0,250.0,0.0,,,0.0,0.0,
103741,203,0,203.0,0.0,,,0.0,0.0,
103893,1080,3,1080.0,3.0,,,0.2777777777777778,0.2777777777777778,
103909,528,2,528.0,2.0,,,0.3787878787878788,0.3787878787878788,
103927,517,1,517.0,1.0,,,0.19342359767891684,0.19342359767891684,
103954,47,0,47.0,0.0,,,0.0,0.0,
103963,689,0,689.0,0.0,,,0.0,0.0,
104090,739,1,712.0,1.0,27.0,0.0,0.13531799729364005,0.1404494382022472,0.0
104151,79818,12563,65450.0,5273.0,14368.0,7290.0,15.739557493297252,8.056531703590528,50.73775055679287
104160,8964,138,8964.0,138.0,,,1.5394912985274432,1.5394912985274432,
104179,56365,3636,44848.0,1718.0,11517.0,1918.0,6.450811673911115,3.830717088833393,16.653642441608056
104346,5053,87,5053.0,87.0,,,1.7217494557688502,1.7217494557688502,
104391,76,0,76.0,0.0,,,0.0,0.0,
104425,3905,105,3905.0,105.0,,,2.6888604353393086,2.6888604353393086,
104443,104,0,104.0,0.0,,,0.0,0.0,
104568,298,0,298.0,0.0,,,0.0,0.0,
104577,5213,65,5213.0,65.0,,,1.2468827930174564,1.2468827930174564,
104586,3264,273,3229.0,266.0,35.0,7.0,8.363970588235293,8.237844533911428,20.0
104665,8,0,,,8.0,0.0,0.0,,0.0
104708,13914,160,13914.0,160.0,,,1.1499209429351733,1.1499209429351733,
104717,113257,967,75936.0,683.0,37321.0,284.0,0.8538103605075182,0.899441635061104,0.7609656761608746
105145,5553,10,5553.0,10.0,,,0.18008283810552855,0.18008283810552855,
105154,17077,248,17077.0,248.0,,,1.4522457106049071,1.4522457106049071,
105206,4619,0,4619.0,0.0,,,0.0,0.0,
105215,527,0,527.0,0.0,,,0.0,0.0,
105297,1434,2,1423.0,2.0,11.0,0.0,0.1394700139470014,0.14054813773717498,0.0
105330,28467,1141,22990.0,486.0,5477.0,655.0,4.008149787473215,2.1139625924314918,11.95910169800986
105349,3158,0,3158.0,0.0,,,0.0,0.0,
105428,10660,100,10660.0,100.0,,,0.9380863039399625,0.9380863039399625,
105525,16283,151,16283.0,151.0,,,0.927347540379537,0.927347540379537,
105534,2676,0,2567.0,0.0,109.0,0.0,0.0,0.0,0.0
105543,562,1,562.0,1.0,,,0.1779359430604982,0.1779359430604982,
105589,867,1,223.0,0.0,644.0,1.0,0.11534025374855825,0.0,0.15527950310559005
105659,1417,0,1417.0,0.0,,,0.0,0.0,
105668,18841,112,18841.0,112.0,,,0.5944482776922668,0.5944482776922668,
105677,21,0,21.0,0.0,,,0.0,0.0,
105747,7065,53,7065.0,53.0,,,0.7501769285208776,0.7501769285208776,
105792,4516,11,4516.0,11.0,,,0.24357838795394152,0.24357838795394152,
105899,1421,48,1381.0,48.0,40.0,0.0,3.377902885292048,3.4757422157856626,0.0
106041,1957,0,1957.0,0.0,,,0.0,0.0,
106148,7428,28,7428.0,28.0,,,0.3769520732364028,0.3769520732364028,
106245,8216,579,5939.0,161.0,2277.0,418.0,7.047224926971762,2.710894089914127,18.357487922705314
106263,3485,93,1589.0,9.0,1896.0,84.0,2.6685796269727406,0.5663939584644431,4.430379746835443
106306,342,5,342.0,5.0,,,1.461988304093567,1.461988304093567,
106315,106,0,106.0,0.0,,,0.0,0.0,
106324,61,0,61.0,0.0,,,0.0,0.0,
106342,659,51,657.0,51.0,2.0,0.0,7.7389984825493165,7.76255707762557,0.0
106351,123,0,123.0,0.0,,,0.0,0.0,
106397,33610,1220,28859.0,363.0,4751.0,857.0,3.6298720618863434,1.257839841990367,18.03830772468954
106412,2005,75,1817.0,50.0,188.0,25.0,3.7406483790523692,2.7517886626307098,13.297872340425531
106449,3277,4,3277.0,4.0,,,0.12206286237412267,0.12206286237412267,
106458,15726,1277,9985.0,954.0,5741.0,323.0,8.120310314129467,9.554331497245869,5.626197526563317
106467,8746,183,8145.0,107.0,601.0,76.0,2.092385090327007,1.3136893799877225,12.645590682196339
106485,2856,23,2457.0,14.0,399.0,9.0,0.8053221288515405,0.5698005698005698,2.2556390977443606
106494,29,0,29.0,0.0,,,0.0,0.0,
106546,583,5,583.0,5.0,,,0.8576329331046313,0.8576329331046313,
106625,1705,0,1705.0,0.0,,,0.0,0.0,
106704,10112,346,8268.0,278.0,1844.0,68.0,3.4216772151898738,3.3623609095307208,3.68763557483731
106713,547,43,547.0,43.0,,,7.861060329067642,7.861060329067642,
106795,1312,0,1312.0,0.0,,,0.0,0.0,
106810,241,0,241.0,0.0,,,0.0,0.0,
106883,1401,10,1401.0,10.0,,,0.7137758743754461,0.7137758743754461,
106908,360,0,360.0,0.0,,,0.0,0.0,
106980,1805,24,1805.0,24.0,,,1.3296398891966759,1.3296398891966759,
106999,1192,10,1192.0,10.0,,,0.8389261744966443,0.8389261744966443,
107044,4696,222,3536.0,169.0,1160.0,53.0,4.727427597955707,4.779411764705882,4.568965517241379
107071,2055,52,1461.0,34.0,594.0,18.0,2.5304136253041363,2.327173169062286,3.0303030303030303
107080,1110,23,1100.0,23.0,10.0,0.0,2.0720720720720722,2.090909090909091,0.0
107099,86,0,86.0,0.0,,,0.0,0.0,
107123,92,0,92.0,0.0,,,0.0,0.0,
107141,2350,152,1948.0,149.0,402.0,3.0,6.468085106382978,7.648870636550307,0.7462686567164178
107220,245,0,245.0,0.0,,,0.0,0.0,
107293,52,0,52.0,0.0,,,0.0,0.0,
107318,1022,10,1022.0,10.0,,,0.9784735812133072,0.9784735812133072,
107327,1461,0,1461.0,0.0,,,0.0,0.0,
107442,39,0,39.0,0.0,,,0.0,0.0,
107460,2089,1,2089.0,1.0,,,0.04786979415988511,0.04786979415988511,
107488,206,0,206.0,0.0,,,0.0,0.0,
107512,1858,35,1729.0,35.0,129.0,0.0,1.883745963401507,2.0242914979757085,0.0
107521,1983,0,1983.0,0.0,,,0.0,0.0,
107549,1069,0,1069.0,0.0,,,0.0,0.0,
107558,778,218,778.0,218.0,,,28.020565552699228,28.020565552699228,
107585,2248,2,2248.0,2.0,,,0.0889679715302491,0.0889679715302491,
107600,780,63,755.0,63.0,25.0,0.0,8.076923076923077,8.344370860927153,0.0
107619,1199,0,1199.0,0.0,,,0.0,0.0,
107637,916,4,916.0,4.0,,,0.43668122270742354,0.43668122270742354,
107655,42,0,42.0,0.0,,,0.0,0.0,
107664,4478,27,4478.0,27.0,,,0.6029477445288075,0.6029477445288075,
107725,1305,5,1305.0,5.0,,,0.38314176245210724,0.38314176245210724,
107743,786,31,786.0,31.0,,,3.9440203562340965,3.9440203562340965,
107789,99,1,99.0,1.0,,,1.0101010101010102,1.0101010101010102,
107831,54,0,54.0,0.0,,,0.0,0.0,
107840,287,0,287.0,0.0,,,0.0,0.0,
107877,517,42,495.0,42.0,22.0,0.0,8.123791102514506,8.484848484848486,0.0
107974,1207,11,1207.0,11.0,,,0.9113504556752278,0.9113504556752278,
107983,4732,736,3084.0,39.0,1648.0,697.0,15.553677092138631,1.264591439688716,42.29368932038835
107992,991,0,991.0,0.0,,,0.0,0.0,
108065,8,0,8.0,0.0,,,0.0,0.0,
108092,5496,56,5459.0,56.0,37.0,0.0,1.0189228529839884,1.0258289063931123,0.0
108232,5498,910,3644.0,421.0,1854.0,489.0,16.55147326300473,11.553238199780461,26.375404530744333
108269,114,1,,,114.0,1.0,0.8771929824561403,,0.8771929824561403
108667,6141,34,6141.0,34.0,,,0.5536557563914672,0.5536557563914672,
