uni_id,uni_name,UNITID,prog_name,prog_application,prog_longevity_score,prog_commit_score,prog_support_score,prog_website_score,prog_feedback_web,prog_orientaion,prog_tech_score,prog_risk_score,prog_year-type,prog_feature,CITY,STABBR,ZIP,SECTOR,ICLEVEL,CONTROL,INSTSIZE,CARNEGIEIC,CARNEGIESAEC,CARNEGIESIZE,LOCALE,CBSA,CBSATYPE,C21BASIC,LATITUDE,LONGITUD,COUNTYNM,COUNTYCD,uni_total_enrollment,uni_total_nonresident_enrollment,uni_total_nonresident_pct,uni_undergrad_enrollment,uni_undergrad_nonresident_enrollment,uni_undergrad_nonresident_pct,uni_graduate_enrollment,uni_graduate_nonresident_enrollment,uni_graduate_nonresident_pct,IC2025,RPU_Flag,Primarily_Associate_Flag,CBSA_FIPS,CBSA_Name,Pell_PCT,UnderRepMinority_PCT_22_23,Access_Ratio,Access_Geo_Flag,8Yr_MedEarnings,SAECCompEarnings,Earnings_Ratio,SAEC25
U01,University of Central Missouri,176965,Friendship Family program,email,1.0,1.0,1,1,1,0,1,1,0.0,Cutural Shock Information on the document,Warrensburg,MO,64093,1,1,1,4,19,4,3,32,47660,2,18,38.759111,-93.737428,Johnson County,29101,12857,3412,26.538072645251614,7584.0,147.0,1.9382911392405062,5273.0,3265.0,61.919211075289205,Professions-focused Undergraduate/Graduate-Master's Large/Medium,1,0,47660,"Warrensburg, MO",0.3191,0.2078,1.43,,45855.0,31558.12198951322,1.45,"Higher Access, Medium Earnings"
U02,Truman State University,178615,International Friends ,Google Form,2.0,2.0,3,3,1,0,3,4,0.0,facebook,Kirksville,MO,63501-4221,1,1,1,2,22,3,3,33,28860,2,19,40.188267,-92.581658,Adair County,29001,3664,267,7.287117903930131,3265.0,251.0,7.68759571209801,399.0,16.0,4.010025062656641,Special Focus: Arts and Sciences,1,0,28860,"Kirksville, MO",0.1897,0.1061,0.75,,48947.0,36814.28442422317,1.33,"Lower Access, Medium Earnings"
U03,Carnegie Mellon University,211440,International Neighbors program,Google Form,2.0,3.0,1,4,2,0,2,3,1.0,Quality of Website,Pittsburgh,PA,15213-3890,2,1,2,4,30,5,3,11,38300,1,15,40.44357,-79.941993,Allegheny County,42003,15888,6674,42.00654582074522,7377.0,1405.0,19.0456825267724,8511.0,5269.0,61.90811890494654,"Special Focus: Technology, Engineering, and Sciences",0,0,38300,"Pittsburgh, PA",0.1533,0.2638,0.64,,105524.0,40824.69738448414,2.58,"Lower Access, Higher Earnings"
U04,Macalester College,173902,Formign Links Across the Global,Google Form,4.0,3.0,3,4,4,1,3,4,1.0,Strong Longevity,Saint Paul,MN,55105-1899,2,1,2,2,22,3,2,11,33460,1,21,44.938565,-93.168053,Ramsey County,27123,2138,321,15.014031805425631,2138.0,321.0,15.014031805425631,,,,Special Focus: Arts and Sciences,0,0,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.1741,0.2868,0.76,,57106.0,41025.17158218187,1.39,"Lower Access, Medium Earnings"
U05,Kenyon College,203535,Friendship Family program,Google Form,2.0,3.0,2,3,1,0,2,2,1.0,Collecting the regular photos for sharing,Gambier,OH,43022,2,1,2,2,22,3,2,41,34540,2,21,40.374408,-82.397977,Knox County,39083,2249,214,9.515340151178302,2249.0,214.0,9.515340151178302,,,,Special Focus: Arts and Sciences,0,0,34540,"Mount Vernon, OH",0.1012,0.1828,0.44,,52468.0,40280.29270605682,1.3,"Lower Access, Medium Earnings"
U06,Grinnell College,153384,Friends of International students (FIS),Qualtrics,3.0,3.0,3,4,2,1,2,2,,Application Form,Grinnell,IA,50112-1690,2,1,2,2,22,5,2,33,-2,-2,21,41.747952,-92.722094,Poweshiek County,19157,1788,366,20.469798657718123,1788.0,366.0,20.469798657718123,,,,Special Focus: Arts and Sciences,0,0,-2,Iowa -- Not in metropolitan statistical area,0.1737,0.2275,0.64,,58562.0,39054.916403451716,1.5,"Lower Access, Higher Earnings"
U07,Northwest Missouri State University,178624,Friends of International Students,Website,3.0,3.0,3,3,1,0,1,2,1.0,Cutural Barrier information,Maryville,MO,64468-6001,1,1,1,3,19,4,3,33,32340,2,18,40.351692,-94.883339,Nodaway County,29147,9152,716,7.823426573426573,5241.0,145.0,2.7666475863384847,3911.0,571.0,14.599846586550754,Professions-focused Undergraduate/Graduate-Master's Large/Medium,1,0,32340,"Maryville, MO",0.3095,0.1411,1.27,,44756.0,36753.20696357438,1.22,"Higher Access, Medium Earnings"
U08,Pittsburg State University,155681,International Friends of Pittsburg (FIP),FormStack,4.0,3.0,2,3,1,0,3,2,0.0,Mesure Host's Motivation,Pittsburg,KS,66762,1,1,1,3,19,6,3,32,38260,2,18,37.392071,-94.702473,Crawford County,20037,5755,272,4.72632493483927,4472.0,114.0,2.5491949910554563,1283.0,158.0,12.314886983632112,Professions-focused Undergraduate/Graduate-Master's Large/Medium,1,0,38260,"Pittsburg, KS",0.343,0.1938,1.05,,47079.0,30487.790511525483,1.54,"Opportunity Colleges and Universities – Higher Access, Higher Earnings"
U09,University of Nebraska at Kearney,181215,International Friendship program,Qualtrics,4.0,4.0,2,2,1,0,2,2,1.0,"Longevity, Grate Feedback on the uni news",Kearney,NE,68849-1212,1,1,1,3,19,4,3,32,28260,2,18,40.701452,-99.098699,Buffalo County,31019,5881,290,4.931134160856997,4213.0,271.0,6.432470923332542,1668.0,19.0,1.1390887290167866,Professions-focused Undergraduate/Graduate-Master's Large/Medium,1,0,28260,"Kearney, NE",0.3443,0.2144,1.46,,48009.0,36732.63727614468,1.31,"Higher Access, Medium Earnings"
U10,Youngstown State University,206695,Friendship Family program,PDF,,2.0,4,3,1,0,2,4,0.0,Concrete risk management,Youngstown,OH,44555-0001,1,1,1,4,17,3,3,13,49660,1,18,41.104928,-80.64659,Mahoning County,39099,12204,1362,11.160275319567354,9400.0,926.0,9.851063829787234,2804.0,436.0,15.549215406562054,Professions-focused Undergraduate/Graduate-Doctorate Medium,1,0,49660,"Youngstown-Warren, OH",0.3545,0.1744,0.98,,39179.0,31235.58367071974,1.25,"Lower Access, Medium Earnings"
