uni_id,uni_name,uni_name_clean,UNITID,INSTNM
U01,Univeristy of Central Missouri (UCM),University of Central Missouri,176965,University of Central Missouri
U02,Truman State Uiversity,Truman State University,178615,Truman State University
U03,Carnegie Mellon,Carnegie Mellon University,211440,Carnegie Mellon University
U04,Macalester College,Macalester College,173902,Macalester College
U05,Kenyon College,Kenyon College,203535,Kenyon College
U06,Grinnell College,Grinnell College,153384,Grinnell College
U07,Northwest Missouri State University,Northwest Missouri State University,178624,Northwest Missouri State University
U08,Pittsburg State University,Pittsburg State University,155681,Pittsburg State University
U09,University of Nebraska-Kearney,University of Nebraska at Kearney,181215,University of Nebraska at Kearney
U10,Youngstown State University,Youngstown State University,206695,Youngstown State University
U11,Washington and Lee University,Washington and Lee University,234207,Washington and Lee University
U12,Whitman College,Whitman College,237057,Whitman College
U13,University of Idaho,University of Idaho,142285,University of Idaho
U14,Binghamton University,Binghamton University,196079,Binghamton University
U15,University of Southern Indiana,University of Southern Indiana,151306,University of Southern Indiana
U16,University of South Carolina Aiken,University of South Carolina Aiken,218645,University of South Carolina Aiken
U17,Oregon State University,Oregon State University,209542,Oregon State University
U18,University of St. Thomas,University of St Thomas,174914,University of St Thomas
U18,University of St. Thomas,University of St Thomas,227863,University of St Thomas
U19,Augustana University,Augustana University,219000,Augustana University
U20,University of Memphis,University of Memphis,220862,University of Memphis
U21,Case Western Reserve University,Case Western Reserve University,201645,Case Western Reserve University
U22,University of Oklahoma,University of Oklahoma-Norman Campus,207500,University of Oklahoma-Norman Campus
U23,University of Montana,The University of Montana,180489,The University of Montana
U24,University of Arkansas,University of Arkansas,106397,University of Arkansas
U25,University of Houston,University of Houston,225511,University of Houston
U26,University of North Carolina Wilmington,University of North Carolina Wilmington,199218,University of North Carolina Wilmington
U27,Carson-Newman University,Carson-Newman University,219806,Carson-Newman University
U28,Missouri State University–West Plains,Missouri State University-West Plains,179344,Missouri State University-West Plains
U29,Johnson & Wales University,Johnson & Wales University-Providence,217235,Johnson & Wales University-Providence
U30,Skidmore College,Skidmore College,195526,Skidmore College
U31,Lawrence University,Lawrence University,239017,Lawrence University
